Survey_Results_Labeled_Dec
;Tweets;+;N;-;Label
Q42;@hugoborscht @twobugsGaming @Ukraine @Russia I'm not a pussian scum using them as a living shield like TERRORISTS you are https://t.co/jhQTn8IHPG;0.0;0.1;0.9;negative
Q43;"""@CSIS CSIS: Cordesman writing THE Ukraine 15 times in the article suggests that he hasn't heard that its a sore point: 
https://t.co/5jt1yXeeOg
https://t.co/7g6s1N7PMP
https://t.co/PULFzuOJGQ""";0.0;0.4;0.6;negative
Q44;Live Discussion: Will Russia Invade Ukraine? https://t.co/TvyMSll7HW;0.0;0.8;0.2;neutral
Q45;@tedcruz Who gave left Ukraine to fend for themselves against Russia? Who handed over Afghanistan to the Taliban? Trump;0.0;0.2;0.8;negative
Q46;Biden and his allies are plotting ‘reprisals’ against Putin if Russia invades Ukraine https://t.co/EzJTHxGZzF;0.1;0.5;0.4;neutral
Q47;@RALee85 Russia is building up more troups close to Ukraine to serve as a distraction because the 1/6 committee is getting closer to finding out who DT spoke to leading up to the insurrection Putin .;0.0;0.6;0.4;neutral
Q48;"""Tensions have been swirling around Eastern Ukraine in recent weeks. But at times, it's not even clear who is party to the conflict, and the confusion is at the heart of a growing information war.

@Glenn_Diesen explains who is fighting who. 

https://t.co/so5YAmJvMR""";0.0;0.9;0.1;neutral
Q49;"""Blinken, President of European Council decide that diplomacy, sanctions would calm Russia down
https://t.co/YpAtRPTRpR""";0.2;0.7;0.1;neutral
Q50;"""In a while one can merely hope that decent Russian soldiers will commit mutiny & depose Putin. But this kind of hope is not  an attractive strategy for survival.
Shame on Germany for its fascination with Russia & leaving the sovereign nation of Ukraine to be annihilated by Russia""";0.0;0.1;0.9;negative
Q51;@vicktop55 Five million people have left, it's becoming an economic wasteland and will deteriorate further If Russia cuts them off completely. In this economic War, Russia will win, Ukraine will loose and Americans interest will fade.;0.1;0.0;0.9;negative
Q52;Congress Pushes $4.5 BILLION Aid for Ukraine, European Defense As Politicians Saber-Rattle over Russia. https://t.co/2sUppO47Fw;0.4;0.5;0.1;neutral
Q53;Russia tests Biden administration as fears of Ukraine invasion https://t.co/CLDkdrrpn8;0.0;0.5;0.5;neutral
Q54;Biden administration is making contingency plans to evacuate Americans from Ukraine… https://t.co/TZAnumx8p3;0.3;0.6;0.1;neutral
Q55;What to expect as Biden and Putin hold video call amid tensions at Russia-Ukraine border https://t.co/JEhby8ihPO;0.0;0.9;0.1;neutral
Q56;WATCH Putin respond to whether or not Russia will 'ATTACK UKRAINE' https://t.co/SPpxWLKmn4 via @YouTube;0.0;0.4;0.6;negative
Q57;Will Russia Invade Ukraine? https://t.co/aNLQuv1aMp;0.0;0.6;0.4;neutral
Q58;Russia Ukraine: Putin compares Donbas war zone to genocide https://t.co/4ePFo7Y0rQ;0.0;0.3;0.7;negative
Q59;@SpaghettiKozak @john_sipher Which was voided in 2014 when an anti Russian Coup took over Kiev.  Russia has every right to consider all Russian territory returning to Russia unless the coup is reversed and Ukraine returns to being a friendly state.  NATO is the rightful red line.;0.1;0.2;0.7;negative
Q60;"""@nytimes That's bullshit, completely
The only way to Russia to invade Ukraine is when they've started mass genocide against Russian people inside""";0.0;0.0;1.0;negative
Q61;"""@FinancialTimes Has it occurred to anyone that China’s and Russia may coordinate their invasions of Taiwan and Ukraine?
Then what?
The enemy of my enemy is my friend.""";0.1;0.2;0.7;negative
Q62;Biden warns Putin he will make it 'very, very difficult' to attack Ukraine after US intelligence says Russia is planning military offensive https://t.co/AIhpi57WC8;0.1;0.2;0.7;negative
Q63;"""@democracynow I'm sorry, but the Ukraine Russia situation isn't a civil war. Ukraine is it's own country asking for help.

Maybe Russia should stop going into Ukraine and threatening their borders. How is the US the agreesor in this?""";0.2;0.4;0.4;neutral
Q64;Blinken hopes Russia to withdraw its troops from Ukraine's border instead of attacking https://t.co/yQnEX8Z9KH;0.6;0.4;0.0;positive
Q65;@PoliticsForAlI @alexwickham I observe quite closely the news of the Balkans region and I must say, I also believe that in the coming days, there might be a Russian operation within Ukraine. Why would Russia be having so many troops at the Ukrainian border if otherwise?;0.0;0.5;0.5;neutral
Q66;@bbclaurak @katyballs @SamCoatesSky @HHepplewhite @Conservatives Are you on a witchhunt? Or is just media in general? Are you professional journalists? Give us news not dirty laundry. I mean Russia is trying to invade Ukraine China wants to invade Taiwan/Tibet/Uyghurs inflation is 5% etc & all you find r dirty Knix;0.0;0.0;1.0;negative
Control;@united wins top marks for customer service via Twitter. They turned a poor experience into a positive. Many thanks for the effort! 👍;1.0;0.0;0.0;positive
Q67;"""@LucyGotMad @TheAgeofShoddy the idea that we can dictate terms to Russia concerning Ukraine was absurd from the start

it looked faintly viable back when Russia was a complete basket case post-Soviet-breakup

but now they're a decent regional power again, Ukraine is their backyard, and we're overextended""";0.2;0.2;0.6;negative
Q68;Ukrainian people can't stop suffering Russia. Holodomor, Chernobyl and still trying. https://t.co/tTO3gFTHWo;0.1;0.2;0.7;negative
Q69;"""Just we are on the same page:

US troops should refuse orders to deploy to Ukraine. 

This warmongering is insane.

Russia has the economy of New York State.""";0.1;0.1;0.8;negative
Q70;Russia planning massive military offensive against Ukraine involving 175000 troops, U.S. intelligence warns - The Washington Post: * Russia planning massive military offensive against… https://t.co/PwV7vanorC -Follow me more news #نیب_نیازی_گٹھ_جوڑ #FB__G #PakistanDemandsCrypto;0.0;0.5;0.5;neutral
Q71;If that's how war is going to be fought, I am in full support.🤣 #ukraine #russia #meme https://t.co/lXXYuWxwpT;0.6;0.1;0.3;positive
Q72;"US says it wants to be prepared in case Russia invades Ukraine; hopes to make aggression 'very, very difficult' https://t.co/Es1DVfYLVb via @amermilnews";0.2;0.5;0.3;neutral
Q73;LMFAOOOOO I LOVE UKRAINE, FUCK RUSSIA https://t.co/VlxQtnuLo1;0.5;0.1;0.4;positive
Q74;@Europarl_DE Go away Russia from Ukraine;0.2;0.3;0.5;negative
Q75;With Russia on Multiple Fronts, DOD Team in Ukraine Assesses Air Defense Needs  https://t.co/0m0wxKxOUY;0.0;0.9;0.1;neutral
Q76;@Freeyourmindkid About as much chance as Ukraine not being invaded by Russia;0.0;0.5;0.5;negative
Q77;Blinken Trades Warnings With Russia’s Lavrov Over Ukraine, NATO https://t.co/crFekDscIB;0.0;0.8;0.2;neutral
Q78;"@27khv There will no war, no invasion. Russia's been ""about to invade"" Ukraine for the past, what, eight years now? ""Invasion"" and the transit pipelines are Ukraine's two most lucrative grifts. Without them, Ukraine would have to live off its own budget.";0.2;0.3;0.5;negative
Q79;Only Congress can declare war. It's in the Constitution. Biden cannot declare war. I said Biden could not issue vaccine mandates and courts have proven me right. Same thing on Ukraine. Biden and his media allies don't get to determine that we're at war with Russia;0.1;0.2;0.7;negative
Q80;"""Imagine if the United States was still disrespected ?
Satellite images reveal Putin still massing troops on Ukraine's border https://t.co/2fQWn3yDrZ via @MailOnline""";0.0;0.4;0.6;negative
Q81;"""“The administration is also exploring options for a potential evacuation of US citizens from #Ukraine if Russia were to invade…” 

See, this sounds a whole lot less reassuring post-Kabul than it would have beforehand… https://t.co/2D9QjoS1Ws""";0.0;0.4;0.6;negative
Q82;US says it will send troops to eastern Europe if Russia invades Ukraine https://t.co/IP7QBQ7m9H;0.2;0.5;0.3;neutral
Q83;"Lefties are just so glad and happy that Trump isn't in office right now because he might make a "" mean tweet* to Russia about invading #Ukraine . Wouldn't that be terrible? They certainly don't have to worry about the current White House occupant doing so https://t.co/p45PW4qnuO";0.0;0.1;0.9;negative
Q84;@nypost If Russia gives us enough cheap oil to improve Biden's poll numbers, I'm sure he'd be willing to give them Ukraine in exchange.;0.1;0.0;0.9;negative
Q85;Tensions over Russia-Ukraine https://t.co/4tThEfSed3;0.0;0.9;0.1;neutral
Q86;"""@SciGuySpace There's no other choice, without Russia ISS is toast, NASA is not going to ditch a $100B asset because of Ukraine.

But this just goes to show why putting international cooperation on the critical path is a bad idea, especial cooperation with a non-western country.""";0.2;0.1;0.7;negative
Q87;russia: US warns Russia of crippling sanctions if it invades Ukraine https://t.co/67xR8uEAAA;0.0;0.7;0.3;neutral
Q88;Russia is about to invade Ukraine and no one is talking about it;0.0;0.3;0.7;negative
Q89;"Russia you must stop invading Ukraine because peace must be and with you attacking sovereign nations; peace is jeopardize; therefore, the USA must intervene; Russia you don’t want a definite inhalation of all nations";0.1;0.1;0.8;negative
Q90;"""@Shwarmaonthesp1 @NoahCRothman If Russia invades Ukraine, I would be shocked if China didnt simultaneously invade Taiwan.
There is no way we can defend both""";0.0;0.1;0.9;negative
Q91;If Russia thinks they're just casually going to escalate their illegal war in Ukraine, does that mean it's okay for the West to casually escalate a full member status in NATO? I realize it would be inconvenient for the Germans, but who knows?;0.2;0.4;0.4;neutral
Q92;🇺🇸🇷🇺 — WATCH: Russian President Vladimir Putin is seen speaking with President Biden via a video link in Sochi, Russia earlier. Biden warned Putin there would be consequences for invading its neighbor Ukraine, as Russia amasses troops on the Ukrainian border. https://t.co/6ptJQaPM2k;0.1;0.6;0.3;neutral
Q93;@NBCNews If Tyrant Biden handles this the way he did Afghanistan, Russia will take Ukraine and this misadministration won’t do a damn thing to them. 🇺🇸;0.0;0.0;1.0;negative
Q94;US NAT'L SECURITY ADVISER SULLIVAN Q&A: PRES BIDEN MADE NO CONCESSIONS WITH PUTIN, LIKE KEEPING UKRAINE OUT OF NATO #Sullivan #Russia #Biden #Putin;0.1;0.4;0.5;negative
Q95;EXPLAINER: What’s Behind Russia-Ukraine Tensions? | World News https://t.co/AHs2KvcDxN;0.0;1.0;0.0;neutral
Q96;"""@peterpomeranzev Putin doesn't want to invade Ukraine. But the US and NATO want a conflict between Ukraine and Russia, and an excuse to impose more sanctions on Russia. So, they're prodding Ukraine to the point where Ukraine does something stupid and provokes a response.

https://t.co/5CrF7Xtwan""";0.0;0.2;0.8;negative
Q97;@JonScottFNC Ukrainians remember The Holodomor in Ukraine from 1932 to 1933 that killed millions, a manmade famine imposed by Russia’s Kremlin by confiscating all household foodstuffs & restricting movement. Bernie Sanders has acknowledged this was necessary to maintain socialism;0.0;0.2;0.8;negative
Q98;‘Fake news’ may complicate Putin-Biden talks – Kremlin https://t.co/Mf8y71BKpE #;0.0;0.9;0.1;neutral
Q99;"""Russia kept EU busy by instigating a hybrid warfare using Belarus so that it could invade Ukraine. 🇷🇺 stationed 90k troops along its border with 🇺🇦 while the West are battling with its Belarus ally.

NATO must send a clear warning to Russia not to repeat its 2014 invasion of 🇺🇦""";0.0;0.5;0.5;neutral
Q100;Timcast IRL - Biden Threatens US Deployment If Russia Invades Ukraine w/... https://t.co/tI3elhtlmt via @YouTube;0.1;0.6;0.3;neutral
