Survey_Results_Labeled_Feb
;Tweets;+;N;-;Label
Q25;"""Where is your help, #Europe & @NATO?
Close the sky over #Ukraine!
Exclude russia from the @UN Security Council!
@POTUS @eucopresident @vonderleyen @Europarl_EN
#StopPutin #StopRussia https://t.co/IvdX60Igig""";0.1;0.3;0.6;negative
Q26;"""@TerraOrBust Still, should make for an interesring trade deal.

https://t.co/CRaHeW9mvS""";0.5;0.5;0.0;positive
Q27;Today is a good day to donate to @WCKitchen to help feed those fleeing #Ukraine because of the desperate little dictator in Russia. 🤬 He’s now killing women an children! 😬;0.0;0.0;1.0;negative
Q28;"""Totally derisible. The black and tragic farce of Russian propaganda and behaviour: 1) Russia attacks and invades Ukraine, 2) Ukraine is defending itself, 3) Russia (!!) is then accusing Ukraine for ’prolonging’ the conflict.
Utterly shameful 

https://t.co/mFeNj4Ezlx""";0.2;0.0;0.8;negative
Q29;"""This war will not end in Ukraine – Putin’s appetite for control is huge | Major General Jonathan Shaw
https://t.co/WjA30QeziE""";0.0;0.5;0.5;negative
Q30;@POTUS @JoeBiden Ban Russia from SWIFT! Protect Ukrainian Sky! Send NATO to Ukraine! #BanRussiafromSwift #CloseTheSky #SendNatoToUkraine;0.1;0.4;0.5;negative
Q31;A new video by @theconvocouch The Convo Couch: Everything You Need To Know About Russia-Ukraine, Real Nazis, The Left’s Bad Takes & More https://t.co/EAlfrO5LSh;0.2;0.7;0.1;neutral
Q32;"""“The safety of ordinary people’s lives and properties should be effectively safeguarded, and in particular, large-scale humanitarian crises have to be prevented.” China isn’t condemning Russia’s unprovoked attack on Ukraine, but the tone has shifted https://t.co/59XT7DZif2""";0.0;0.8;0.2;neutral
Q33;"""Russia after it took Crimea from Ukraine. Ideologically, this new war is an imperialist (""-ism"") war. A strong armed attack against civilian populations! https://t.co/z1buxLduo6""";0.0;0.6;0.4;neutral
Control;@united is by far THE WORST airline I've ever had the misfortune of flying with in all the 44 countries I've flown to!!! It's outrageous!;0.0;0.0;1.0;negative
Q34;"""@ua_parliament @NATO @UN @POTUS @eucopresident @vonderleyen @Europarl_EN Where is your help, #Europe & @NATO?
Close the sky over #Ukraine!
Exclude russia from the @UN Security Council!
@POTUS @eucopresident @vonderleyen @Europarl_EN
#StopPutin #StopRussia""";0.0;0.1;0.9;negative
Q35;At Sunderland Interfaith Forum Peace Vigil for Ukraine/Russia at the Minster tonight. Thinking of all the souls lost. https://t.co/2ZV8S4L5yi;0.3;0.4;0.3;neutral
Q36;All the latest political developments as Vladimir Putin's Russia escalates its aggression against Ukraine https://t.co/aOE77Ik0AQ;0.1;0.9;0.0;neutral
Q37;"""|  Combat zone.  #Russia #Ukraine #OTAN
#Russia https://t.co/MwyNEiQmVJ""";0.0;0.9;0.1;neutral
Q38;"""Contracts at the front of the curve and out to Winter 2022 settled an average of 100.00p higher as the invasion of Ukraine by Russia increased geopolitical risks 

#gas #RussiaUkraineConflict""";0.0;1.0;0.0;neutral
Q39;"""@Reuters NATO Backed Forces Launch Massive Offensive Against Russian Held Sectors of Eastern Ukraine

Feb. 18, 2022 

Alex Jones breaks down the plan to stoke war with Russia so the globalists can seize power permanently ahead of the Great Reset.

https://t.co/t9P3Uoepd3""";0.0;0.8;0.2;neutral
Q40;"""@MasudGh STOP RUSSIAN AGGRESSION AGAINST #UKRAINE. @NATO CLOSE THE SKY OVER UKRAINE! EXCLUDE RUSSIA FROM THE @UN SECURITY COUNCIL!
#StopPutin #StopRussia""";0.0;0.3;0.7;negative
Q41;"""God abeg blow trumpet 😂

Ukraine Russia https://t.co/8nJ81BlUrU""";0.8;0.1;0.1;positive
Q42;"""@ua_parliament @NATO @UN Where is your help, #Europe & @NATO?
Close the sky over #Ukraine!
Exclude russia from the @UN Security Council!
@POTUS @eucopresident @vonderleyen @Europarl_EN
#StopPutin #StopRussia""";0.1;0.2;0.7;negative
Q43;@Russia @Olympic_Russia @Olympics @RussianParalymp @MID_Krasnodar @TwitterSports @MatchTV @Beijing2022 @SochiAutodrom @Sochi2014 @russiabeyond ratio + ukraine better 😂;0.7;0.3;0.0;positive
Q44;115 Nigerians besiege Ukraine embassy in Abuja, volunteer to fight against Russia https://t.co/Og1Q6Br32e;0.1;0.8;0.1;neutral
Q45;@dcouwenbergh @RT_com People of the same country can have common benefits that bond them in a unity but Ukraine and Russia hadn't;0.1;0.6;0.3;neutral
Q46;"""Ukraine's capital under threat as Russia presses invasion | AP News

 https://t.co/N581BOVGcD""";0.0;0.9;0.1;neutral
Q47;"""Terrifying 

 https://t.co/KBK7dunPXT""";0.0;0.1;0.9;negative
Q48;5 Penny Stocks To Buy For Under $5 As Russia Ukraine Conflict Intensifies https://t.co/5x5kvgLXCk;0.4;0.5;0.1;neutral
Q49;"@ClarkeMicah @JohnCurd13 ""We"" are also scared of Russia, that's why nobody attacked Russia. Biden provoked Russia to attack Ukraine and run away. It's easier to scarify another country than make the war in yours.";0.1;0.2;0.7;negative
Q50;"""You don’t have to take a side, in fact it’s practically meaningless to do so. 

But can you hold the view that this is not a good vs. evil dichotomy and Russia has rational interests in securing Ukraine, and Western negligence enabled that interest?

That’s a more relevant. https://t.co/r7WgF1NIEd""";0.2;0.5;0.3;neutral
Q51;"""Russia investigated for war crimes as peace talks stall
The International Criminal Court said Monday that it will open an investigation into whether Russia has committed war crimes and crimes against humanity in Ukraine, hours after peace talks in Belarus ended.
#RussiaUkraine https://t.co/kdsWOPVSRb""";0.0;1.0;0.0;neutral
Q52;"""Others are using a video of a plane being shot down in Benghazi in 2011 to say it shows a Russian jet being shot down
https://t.co/dSR02mywZQ https://t.co/8gI5ppA9pB""";0.0;0.9;0.1;neutral
Q53;Couple of folks with signs about the Russia-Ukraine conflict set up on the corner outside the Peoria Civic Center after the Peoria Rivermen game ended Sunday evening. https://t.co/77BVWkRjXL;0.1;0.9;0.0;neutral
Q54;The truly staggering thing is this moron represents right wing thinking on Russia and Ukraine. Russian State TV wouldn’t say it any different. https://t.co/SpFdnghUYQ;0.0;0.0;1.0;negative
Q55;@Ukraine I’m not Ukrainian,but I’m not support Ukraine or Russia 😅;0.3;0.5;0.2;neutral
Q56;The relentless campaign of #propaganda and #russophobia is having one very desirable side-effect: it's weaning me off of @MailOnline and allowing me much more time to do real stuff, in the real world.  #Ukraine #NATO #Russia #Putin;0.8;0.1;0.1;positive
Q57;"""@logical1ne
 I don't side w Biden or Ukraine either, my sympothy is w 2 breakaway areas. Who were shelled for 7 yrs, and unable to have any peace/freedom. Mistreated by Ukraine, and forced to ask for help from Russia. I don't get why Dems/Rinos want to see them wiped out. Sad. https://t.co/50pWXuEEz8""";0.1;0.0;0.9;negative
Q58;"""#Putin tried 300+ new weapons on #Syria children to increase his weapon sales. In #Ukraine his army humiliated, his weapons destroyed, his illusion ended.

Putin recklessness took #Russia back 30 years, he will discover free people hate his rule and will stand up to his crimes. https://t.co/07eYHVw0SL""";0.2;0.0;0.8;negative
Q59;"""@petrmares2 @Timcast That’s why Russia is doing this, other than their national myth w #Ukraine: they have no motivation to NOT invade Ukraine, and their petro-state is the energy hub of Europe. 

Both these things, “green” policies & our intel agencies picking clandestine fights, have gotten us here""";0.1;0.4;0.5;negative
Q60;"""@ReutersTech ""Civil War"" Alert 🚨🚨🚨
Volodymyr Zelenskyy using comomon people as Shield against Russian Army for his own political gain. Ukraine(kyiv) VS Russia 
""Molotov Cocktails & Guns""😠😡🤬
https://t.co/VaxoFAliZF""";0.1;0.0;0.9;negative
Q61;@IAPonomarenko RUSSIAN troops have seemingly taken to the bottle as Vladimir Putin faces a potentially critical break down in military morale. https://t.co/zoITyrV7q7;0.2;0.7;0.1;neutral
Q62;"""@JA_Loans @Osinttechnical @arabbitorduck Russia also said the claims of a planned invasion were ludicrous. They lied at a massive scale from the get go.

In a subsequent speech Putin said Ukraine wasn't a country and state media had scheduled articles about unifying Russia consistent with his invasion plans.""";0.0;0.4;0.6;negative
Q63;"""@Europarl_EN Stop killing our children! Close the sky
over #Ukraine! Exclude russia from the
@UN Security Council! @POTUS
@eucopresident @vonderleyen
@Europarl_EN @RTErdogan
#StopPutin #StopRussia❗️❗️❗️""";0.0;0.0;1.0;negative
Q64;"""@RoyalFamily STOP RUSSIAN AGGRESSION AGAINST #UKRAINE. @NATO CLOSE THE SKY OVER UKRAINE! EXCLUDE RUSSIA FROM THE @UN SECURITY COUNCIL!
#StopPutin #StopRussia""";0.0;0.1;0.9;negative
Q65;@_vanityflow AEW vs WWE invasion will wake up both Russia and Ukraine to end their war sooner than expected towards Tony Khan buying WWE but still retaining that name for All Elite merging towards there.;0.1;0.9;0.0;neutral
Q66;"""Russia continues to kill civilians in Ukraine, shell kindergartens and places with radioactive waste. And still a lot of Russians  are watching tv-shows instead of protests. Act, not watch! 

#blockHBOinRussia #NoWarUkraine #StopPutinNOW 
@HBO @hbomax @wbpictures @warnerbros https://t.co/uc3sVK0124""";0.0;0.0;1.0;negative
Control;@united wins top marks for customer service via Twitter. They turned a poor experience into a positive. Many thanks for the effort! 👍;1.0;0.0;0.0;positive
Q67;USA - Deplorable REPUBLICANS, including Donald Trump and his cohorts are in support of Putin of Russia's war against Ukraine. What a pity! https://t.co/zP1icDXNnF;0.0;0.0;1.0;negative
Q68;"""#Ukraine #Russia #Africans if its not our war why are u supporting it.

https://t.co/MdCJLdJSCW""";0.1;0.3;0.6;negative
Q69;@Europarl_EN STOP RUSSIAN AGGRESSION AGAINST #UKRAINE. @NATO CLOSE THE SKY OVER UKRAINE! EXCLUDE RUSSIA FROM THE @UN SECURITY COUNCIL!#StopPutin #StopRussia;0.0;0.2;0.8;negative
Q70;"""#russia using #clusterbombs in #Ukraine 

#FUCKputin https://t.co/XbBBi0VxZ0""";0.0;0.1;0.9;negative
Q71;"""@ChadGilmartinCA One of Russia's looniest far-right ideologues endorses Donald Trump https://t.co/H6IsNix863…

One of Russia's looniest far-right ideologues endorses Donald Trump

Aleksandr Dugin's neo-imperialist ""Eurasianism"" provided ideological support for Putin's Ukraine invasion.""";0.0;0.4;0.6;negative
Q72;@LJucca @Reuters #Putin and the #Russian Forces are getting their Butts kicked by a very Brave and Heroic #Ukraine Army.. He knows Ukraine has no Nuclear  Weapons to fight back with yet the Bully Putin orders #Russia Nuclear Team to Response Ready!! Putin  needs to be stopped!!!!;0.9;0.0;0.1;positive
Q73;"""No one knows exactly what will happen next, but the Ukrainian people have just offered a robust rebuttal to Russian President Vladimir Putin’s claim that they are not members of a real nation, @hofrench writes in today's column.
https://t.co/SwVyyHTfjv""";0.2;0.7;0.1;neutral
Q74;"""@EmmanuelMacron STOP RUSSIAN AGGRESSION AGAINST #UKRAINE. @NATO CLOSE THE SKY OVER UKRAINE! EXCLUDE RUSSIA FROM THE @UN SECURITY COUNCIL!
#StopPutin #StopRussia""";0.0;0.1;0.9;negative
Q75;"""the lies about Russia are all around on Twitter,and they only show positive content about Ukraine,they western medias never report negative informations about Ukraine. hypocrisy western government！

it was America cause the war！not #Putin ！ 

#UkraineRussiaWar #Europe #Rusia""";0.0;0.1;0.9;negative
Q76;Ukraine's tech diaspora races to mobilize Silicon Valley in war with Russia https://t.co/1OUuRRjiBT;0.1;0.8;0.1;neutral
Q77;"""According to preliminary data, there are no victims or injured as a result of the strike on the capital's high-rise building at Lobanovsky Avenue, 6-A. An evacuation is underway.

#Russia #Ukraine #RussiaUkraine https://t.co/NxF7WJIYJl""";0.0;1.0;0.0;neutral
Q78;"""Russia-Ukraine War: Mamata Extends Unconditional Support To PM Modi; Seeks All-party Meet

'As the largest democracy on the planet, India must take lead to offer a peaceful solution to the world and we must offer it, undaunted and unhesitant'

https://t.co/gfjeMhSKDO""";0.3;0.7;0.0;neutral
Q79;@hannibal_lect2 @KremlinRussia_E Russia is the aggressor.  Ukraine gave up her nukes.  Now, more than ever is it looking like Ukraine will join the EU and maybe even NATO.  Ukraine held her end of the bargain until Russia decided the aggression.;0.1;0.3;0.6;negative
Q80;It seems the response of Russia to the peace talks with kyiv Ukraine is more air raids and bombings!;0.0;0.3;0.7;negative
Q81;"""this is good to see

Astonishing moment diplomats WALK OUT during Russian minister's speech https://t.co/PWndYnCF7h via @MailOnline""";0.8;0.2;0.0;positive
Q82;"""@TripleF00231193 @t289811125 @DefenceU Russian ambassador to Japan warns against sanctions over Ukraine yesterday, this ship might be build by a Japanese company.
So this ship might not have direct connection to Japan, though attacking this ship, Russia is try to threaten Japan.""";0.0;0.7;0.3;neutral
Q83;বাতিল হল F1 রাশিয়ান জিপি, Ukraine-এ Russia-র আগ্রাসনের বিরুদ্ধে এই সিদ্ধান্ত / after Vladimir Putin ordered Russian attack on Ukraine the FIA has decided that the Russian GP of F1 will not be held this year https://t.co/fmepuWTGJg;0.0;0.9;0.1;neutral
Q84;"""Great article that’s 7 years old but more less predicts the war in Ukraine.
#Ukraine 

https://t.co/aYNMilgM89""";0.7;0.3;0.0;positive
Q85;"""@JoeBiden Now it’s not important announce.
Most important thing is fighting against Russia for our democratic alliance Ukraine.
Immediately send weapons and 
instructor to Ukraine Kiev.
There is no time. u must help endured Ukrainian.""";0.4;0.3;0.3;positive
Q86;Gonna donate 10 Hrywnja for every dead russian body in ukraine. #fckrussia #FckPutin #FCKPTN #RussianArmy #russia #StopWar #StopWarInUkraine;0.2;0.1;0.7;negative
Q87;@IAPonomarenko sadly I think Russia has sent its B Team in first to sap the the energy and ammo of Ukraine's defences (classic cannon fodder scenario) and reveal their capabilities and positions - the next wave will be the A Team.  I pray the West has given Ukraine some major firepower.;0.1;0.5;0.4;neutral
Q88;It's not Russia that's pushed Ukraine to the brink of war | Seumas Milne | The Guardian https://t.co/9Jj0SJoZjR;0.1;0.8;0.1;neutral
Q89;@brodymcdonald_ @SultandaSimba @hermes_z I feel very sorry for innocent people of ukrainian people. But Wake up for one month they just preached russia ll attack. Within one month you could bring to ukraine all air defence system with best technology of the world. But no they did not. Ask to them why?;0.0;0.4;0.6;negative
Q90;"""After missile strike in Kyiv, residents go back underground."" by BY YOUSUR AL-HLOU, MICHAEL DOWNEY AND MASHA FROLIAK via NYT New York Times https://t.co/0qULBCXycC";0.0;1.0;0.0;neutral
Q91;"""'#Putin will not hesitate to send agents to kill UK citizens, even disguised as #refugees': Ex-minister Mark Harper warns #Russia could disguise SPIES as civilians fleeing invasion as Boris doubles offer to help 200,000 Ukrainians displaced by war
https://t.co/LmSzK7TiuI
#Ukraine""";0.0;0.6;0.4;neutral
Q92;"""@ua_parliament @NATO @UN Where is your help, #Europe & @NATO?
Close the sky over #Ukraine!
Exclude russia from the @UN Security Council!
@POTUS @eucopresident @vonderleyen @Europarl_EN
#StopPutin #StopRussia🙏🏼""";0.1;0.1;0.8;negative
Q93;"""@OttawaCitizen Appearing for the last time in the Ukraine or anywhere near you... #VladtheImpaled 

#StandwithUkraine #StopRussia #RashPutin #GFY

P.S. Imagine what a lovely democracy Russia/ the Russian federation could be... instead. https://t.co/4kvqPNnJ5f""";0.2;0.1;0.7;negative
Q94;"""Additional UK forces have started to arrive in eastern Europe, as Russia continues its invasion of Ukraine.

Warships, troops and fighter jets are part of further efforts to protect NATO territory, while alternative support is offered to Ukraine itself.

https://t.co/EJTfcSNq3W""";0.2;0.8;0.0;neutral
Q95;CIO Larry Adam and other key Raymond James strategists offer investor guidance in the face of escalating Russia/Ukraine tensions. Listen here: https://t.co/vH5zKSiceb;0.2;0.8;0.0;neutral
Q96;"There are 7 or 8 Billionaires in the UKRAINE! There is 1 person in Russia, that need to be removed. Pull your money, and put a ""Bull eye"" or ""Target"" on that 1 person. Problem solved... https://t.co/3LOPxiL8Ol";0.4;0.0;0.6;negative
Q97;"""@EP_President @Europarl_EN @EU_Commission STOP RUSSIAN AGGRESSION AGAINST #UKRAINE. @NATO CLOSE THE SKY OVER UKRAINE! EXCLUDE RUSSIA FROM THE @UN SECURITY COUNCIL!
#StopPutin #StopRussia""";0.0;0.3;0.7;negative
Q98;"""@vonderleyen STOP RUSSIAN AGGRESSION AGAINST #UKRAINE. @NATO CLOSE THE SKY OVER UKRAINE! EXCLUDE RUSSIA FROM THE @UN SECURITY COUNCIL!
#StopPutin #StopRussia""";0.0;0.1;0.9;negative
Q99;"""""However difficult it may be, our pain will be nothing compared with the agonies of the Ukrainian people at the hands of an invading army.""

I stand with Ukraine against this madman

Mr. Putin Launches a Sequel to the Cold War https://t.co/n7FQLfkG2x""";0.4;0.1;0.5;negative
Q100;"""@Boyanbc The Verses of the Disjointed Letters in Holy Quran:
https://t.co/rAoMA1fUZE

#islam #quran #the_prophet_pbuh #hadith #jihad #tribulations #war #RussiaUkraineWar #Donbas #Donetsk #Lugansk #Kiev #makka #Madina #nation_of_islam #convert_to_islam #chahada #ukraine #russia #nato #EU https://t.co/sCniP62XM6""";0.0;1.0;0.0;neutral
